instant,dteday,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_hour,yr_hour,mnth_hour,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_type
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1,0,2,0,6,0,1,0.39916666666666667,0.3914041666666667,0.18791666666666665,0.5074625,532,1103,1635,Weekend
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1,0,2,0,0,0,1,0.28521739130434787,0.27733043478260866,0.40782608695652167,0.22323478260869567,639,1173,1812,Weekend
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1,0,2,1,1,0,2,0.30333333333333334,0.284075,0.605,0.3078458333333333,195,912,1107,Holiday
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1,0,2,0,2,1,2,0.18222222222222223,0.18603333333333336,0.5777777777777778,0.19568333333333332,74,1376,1450,Working Day
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,1,0,2,0,3,1,1,0.2217391304347826,0.2457173913043478,0.4230434782608696,0.09411304347826087,139,1778,1917,Working Day
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1,0,2,0,4,1,1,0.2956521739130435,0.2891913043478261,0.697391304347826,0.25049565217391306,100,1707,1807,Working Day
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1,0,2,0,5,1,3,0.36434782608695654,0.3504608695652173,0.7121739130434782,0.34653913043478257,120,1341,1461,Working Day
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,1,0,2,0,6,0,1,0.28250000000000003,0.2821916666666667,0.5379166666666667,0.18657083333333335,424,1545,1969,Weekend
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,1,0,2,0,0,0,1,0.34347826086956523,0.3511086956521739,0.68,0.12524782608695653,694,1708,2402,Weekend
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,1,0,2,0,1,1,2,0.4072727272727273,0.4001181818181818,0.8763636363636365,0.28968636363636363,81,1365,1446,Working Day
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1,0,3,0,2,1,1,0.26666666666666666,0.26387916666666666,0.535,0.216425,137,1714,1851,Working Day
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,1,0,3,0,3,1,1,0.335,0.32007083333333336,0.4495833333333333,0.30783333333333335,231,1903,2134,Working Day
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1,0,3,0,4,1,1,0.19833333333333333,0.20013333333333336,0.3183333333333333,0.22575416666666667,123,1562,1685,Working Day
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1,0,3,0,5,1,2,0.26166666666666666,0.2556791666666666,0.6104166666666667,0.20334583333333334,214,1730,1944,Working Day
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,1,0,3,0,6,0,2,0.3841666666666667,0.37877916666666667,0.7891666666666667,0.2518708333333333,640,1437,2077,Weekend
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,1,0,3,0,0,0,2,0.3765217391304348,0.3662521739130435,0.9482608695652174,0.34328695652173913,114,491,605,Weekend
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1,0,3,0,1,1,3,0.26173913043478264,0.23846086956521736,0.551304347826087,0.34135217391304346,244,1628,1872,Working Day
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,1,0,3,0,2,1,1,0.2925,0.3024,0.42083333333333334,0.12065,316,1817,2133,Working Day
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1,0,3,0,3,1,1,0.29583333333333334,0.2866083333333333,0.7754166666666666,0.22014999999999998,191,1700,1891,Working Day
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,1,0,3,0,4,1,3,0.3890909090909091,0.3856681818181818,0.0,0.26187727272727274,46,577,623,Working Day
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,1,0,3,0,5,1,2,0.3165217391304348,0.305,0.6495652173913044,0.2329695652173913,247,1730,1977,Working Day
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,1,0,3,0,6,0,1,0.32916666666666666,0.32575,0.5945833333333334,0.22077500000000003,724,1408,2132,Weekend
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,1,0,3,0,0,0,1,0.3843478260869565,0.3800913043478261,0.5273913043478261,0.270604347826087,982,1435,2417,Weekend
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,1,0,3,0,1,1,1,0.32521739130434785,0.33199999999999996,0.4969565217391304,0.13692608695652173,359,1687,2046,Working Day
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,1,0,3,0,2,1,1,0.3173913043478261,0.3181782608695652,0.6556521739130435,0.18430869565217395,289,1767,2056,Working Day
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,1,0,3,0,3,1,3,0.3652173913043478,0.3669304347826087,0.7765217391304348,0.2031173913043478,321,1871,2192,Working Day
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,1,0,3,0,4,1,1,0.41500000000000004,0.4103333333333334,0.6029166666666667,0.20957916666666665,424,2320,2744,Working Day
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,1,0,3,0,5,1,1,0.54,0.5270086956521739,0.5252173913043479,0.2310173913043478,884,2355,3239,Working Day
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,1,0,3,0,6,0,2,0.4725,0.466525,0.37916666666666665,0.3681666666666667,1424,1693,3117,Weekend
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,1,0,3,0,0,0,1,0.3325,0.32575,0.47375000000000006,0.20772083333333335,1047,1424,2471,Weekend
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2,0,3,0,1,1,3,0.43043478260869567,0.4097347826086956,0.7373913043478261,0.2887826086956522,401,1676,2077,Working Day
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2,0,3,0,2,1,1,0.44166666666666665,0.44064166666666665,0.6245833333333334,0.22575,460,2243,2703,Working Day
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2,0,3,0,3,1,3,0.34695652173913044,0.3379391304347826,0.8395652173913043,0.23426086956521738,203,1918,2121,Working Day
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,2,0,3,0,4,1,2,0.285,0.2708333333333333,0.8058333333333333,0.24378750000000002,166,1699,1865,Working Day
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2,0,3,0,5,1,1,0.26416666666666666,0.2563125,0.49499999999999994,0.23072499999999999,300,1910,2210,Working Day
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2,0,3,0,6,0,2,0.2658333333333333,0.25757083333333336,0.3941666666666667,0.20957083333333335,981,1515,2496,Weekend
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,2,0,3,0,0,0,2,0.2530434782608696,0.25033913043478256,0.49391304347826087,0.1843,472,1221,1693,Weekend
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2,0,3,0,1,1,1,0.2643478260869565,0.25757391304347826,0.3021739130434783,0.21220434782608696,222,1806,2028,Working Day
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2,0,3,0,2,1,1,0.3025,0.2929083333333333,0.31416666666666665,0.2269958333333333,317,2108,2425,Working Day
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,2,0,3,0,3,1,2,0.3,0.29735,0.6466666666666666,0.1728875,168,1368,1536,Working Day
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,2,0,3,0,4,1,3,0.26833333333333337,0.257575,0.9183333333333333,0.21764583333333332,179,1506,1685,Working Day
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2,0,4,0,5,1,3,0.3,0.2834541666666667,0.6862499999999999,0.2587083333333334,307,1920,2227,Working Day
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2,0,4,0,6,0,2,0.315,0.31563749999999996,0.6537499999999999,0.19714583333333335,898,1354,2252,Weekend
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,2,0,4,0,0,0,1,0.37833333333333335,0.3787666666666667,0.48,0.1822125,1651,1598,3249,Weekend
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,2,0,4,0,1,1,1,0.5733333333333334,0.5429291666666667,0.42625,0.38557083333333336,734,2381,3115,Working Day
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2,0,4,0,2,1,1,0.4141666666666666,0.39835,0.6420833333333333,0.3880666666666666,167,1628,1795,Working Day
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2,0,4,0,3,1,1,0.39083333333333337,0.38760833333333333,0.47083333333333327,0.26306250000000003,413,2395,2808,Working Day
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,2,0,4,0,4,1,1,0.4375,0.43369583333333334,0.6029166666666667,0.1623125,571,2570,3141,Working Day
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,2,0,4,0,5,1,2,0.3358333333333334,0.32447916666666665,0.83625,0.22699166666666667,172,1299,1471,Working Day
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2,0,4,0,6,0,2,0.3425,0.34152916666666666,0.8775,0.13308333333333333,879,1576,2455,Weekend
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2,0,4,0,0,0,2,0.4266666666666667,0.4267375,0.8574999999999999,0.14676666666666668,1188,1707,2895,Weekend
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,2,0,4,0,1,1,1,0.5956521739130435,0.5652173913043478,0.7169565217391304,0.3244739130434783,855,2493,3348,Working Day
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2,0,4,0,2,1,2,0.5025000000000001,0.4930541666666666,0.7391666666666666,0.2748791666666667,257,1777,2034,Working Day
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2,0,4,0,3,1,2,0.41250000000000003,0.4172833333333334,0.8191666666666667,0.25061666666666665,209,1953,2162,Working Day
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,2,0,4,0,4,1,1,0.4675,0.46274166666666666,0.5404166666666667,0.1107,529,2738,3267,Working Day
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,2,0,4,1,5,0,1,0.4466666666666667,0.4419125,0.67125,0.226375,642,2484,3126,Holiday
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,2,0,4,0,6,0,2,0.43083333333333335,0.42549166666666666,0.8883333333333333,0.3408083333333333,121,674,795,Weekend
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2,0,4,0,0,0,2,0.4566666666666667,0.44569583333333335,0.4795833333333333,0.30349583333333335,1558,2186,3744,Weekend
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,2,0,4,0,1,1,1,0.5125000000000001,0.5031458333333333,0.5425,0.16356666666666667,669,2760,3429,Working Day
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,2,0,4,0,2,1,1,0.5058333333333334,0.48925833333333335,0.6658333333333334,0.15797083333333334,409,2795,3204,Working Day
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,2,0,4,0,3,1,1,0.595,0.5643916666666666,0.6141666666666666,0.24192500000000003,613,3331,3944,Working Day
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,2,0,4,0,4,1,1,0.45916666666666667,0.45389166666666664,0.4070833333333333,0.32525833333333337,745,3444,4189,Working Day
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,2,0,4,0,5,1,1,0.33666666666666667,0.32195416666666665,0.7295833333333334,0.2195208333333333,177,1506,1683,Working Day
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,2,0,4,0,6,0,2,0.46,0.4501208333333333,0.8879166666666666,0.23072499999999999,1462,2574,4036,Weekend
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,2,0,4,0,0,0,1,0.5816666666666667,0.5517625,0.8108333333333334,0.19217499999999998,1710,2481,4191,Weekend
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,2,0,4,0,1,1,3,0.6066666666666667,0.5745,0.7766666666666667,0.18533333333333335,773,3300,4073,Working Day
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,2,0,4,0,2,1,1,0.6316666666666667,0.5940833333333333,0.7291666666666666,0.3265,678,3722,4400,Working Day
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,2,0,4,0,3,1,1,0.62,0.5751416666666667,0.8354166666666667,0.3122,547,3325,3872,Working Day
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,2,0,4,0,4,1,1,0.6175,0.5789291666666666,0.7008333333333333,0.32090833333333335,569,3489,4058,Working Day
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,2,0,4,0,5,1,1,0.51,0.4974625,0.45708333333333334,0.24006249999999998,878,3717,4595,Working Day
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,2,0,4,0,6,0,2,0.4725,0.4640208333333333,0.5033333333333333,0.235075,1965,3347,5312,Weekend
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,2,0,5,0,0,0,1,0.45166666666666666,0.4482041666666667,0.7620833333333333,0.10635416666666668,1138,2213,3351,Weekend
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,2,0,5,0,1,1,1,0.5491666666666667,0.5328333333333334,0.73,0.18345416666666667,847,3554,4401,Working Day
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,2,0,5,0,2,1,2,0.6166666666666667,0.5820791666666666,0.6970833333333334,0.3426666666666667,603,3848,4451,Working Day
